Serial Number:20268771 --

"Date Time, GMT -0500","Temp, (*C) - 1","Temp, (*C) - 2","Button Down","Host Connect","EOF"
2017-12-12 04:23:43,0.55,-0.05, , , 
2017-12-12 04:43:43,0.55,-0.05, , , 
2017-12-12 05:03:43,0.55,-0.00, , , 
2017-12-12 05:23:43,0.55,-0.00, , , 
2017-12-12 05:43:43,0.60,-0.05, , , 
2017-12-12 06:03:43,0.55,-0.00, , , 
2017-12-12 06:23:43,0.55,-0.00, , , 
2017-12-12 06:43:43,0.60,-0.05, , , 
2017-12-12 07:03:43,0.55,-0.09, , , 
2017-12-12 07:23:43,0.55,-0.05, , , 
2017-12-12 07:43:43,0.55,-0.00, , , 
2017-12-12 08:03:43,0.60,0.04, , , 
2017-12-12 08:23:43,0.55,-0.05, , , 
2017-12-12 08:43:43,0.55,-0.00, , , 
2017-12-12 09:03:43,0.60,-0.00, , , 
2017-12-12 09:23:43,0.60,-0.05, , , 
2017-12-12 09:43:43,0.55,-0.05, , , 
2017-12-12 10:03:43,0.60,0.04, , , 
2017-12-12 10:23:43,0.55,-0.00, , , 
2017-12-12 10:43:43,0.60,-0.05, , , 
2017-12-12 11:03:43,0.55,-0.05, , , 
2017-12-12 11:23:43,0.55,-0.00, , , 
2017-12-12 11:43:43,0.60,-0.05, , , 
2017-12-12 12:03:43,0.55,-0.00, , , 
2017-12-12 12:23:43,0.55,-0.00, , , 
2017-12-12 12:43:43,0.55,-0.05, , , 
2017-12-12 13:03:43,0.60,0.04, , , 
2017-12-12 13:23:43,0.55,-0.05, , , 
2017-12-12 13:43:43,0.60,0.04, , , 
2017-12-12 14:03:43,0.60,0.04, , , 
2017-12-12 14:23:43,0.55,-0.05, , , 
2017-12-12 14:43:43,0.55,-0.00, , , 
2017-12-12 15:03:43,0.55,-0.00, , , 
2017-12-12 15:23:43,0.51,-0.00, , , 
2017-12-12 15:43:43,0.60,-0.00, , , 
2017-12-12 16:03:43,0.55,0.04, , , 
2017-12-12 16:23:43,0.60,0.04, , , 
2017-12-12 16:43:43,0.60,-0.05, , , 
2017-12-12 17:03:43,0.60,-0.00, , , 
2017-12-12 17:23:43,0.60,-0.05, , , 
2017-12-12 17:43:43,0.55,0.08, , , 
2017-12-12 18:03:43,0.51,-0.05, , , 
2017-12-12 18:23:43,0.60,-0.00, , , 
2017-12-12 18:43:43,0.60,-0.05, , , 
2017-12-12 19:03:43,0.64,-0.05, , , 
2017-12-12 19:23:43,0.60,-0.00, , , 
2017-12-12 19:43:43,0.60,-0.00, , , 
2017-12-12 20:03:43,0.55,-0.00, , , 
2017-12-12 20:23:43,0.55,-0.00, , , 
2017-12-12 20:43:43,0.60,-0.00, , , 
2017-12-12 21:03:43,0.55,0.04, , , 
2017-12-12 21:23:43,0.60,0.04, , , 
2017-12-12 21:43:43,0.55,-0.00, , , 
2017-12-12 22:03:43,0.60,-0.05, , , 
2017-12-12 22:23:43,0.60,-0.05, , , 
2017-12-12 22:43:43,0.55,0.04, , , 
2017-12-12 23:03:43,0.55,0.04, , , 
2017-12-12 23:23:43,0.55,0.04, , , 
2017-12-12 23:43:43,0.55,-0.00, , , 
2017-12-13 00:03:43,0.55,-0.00, , , 
2017-12-13 00:23:43,0.55,0.04, , , 
2017-12-13 00:43:43,0.60,-0.00, , , 
2017-12-13 01:03:43,0.60,-0.00, , , 
2017-12-13 01:23:43,0.60,0.04, , , 
2017-12-13 01:43:43,0.55,0.04, , , 
2017-12-13 02:03:43,0.55,0.04, , , 
2017-12-13 02:23:43,0.51,0.04, , , 
2017-12-13 02:43:43,0.55,0.04, , , 
2017-12-13 03:03:43,0.60,0.04, , , 
2017-12-13 03:23:43,0.51,0.04, , , 
2017-12-13 03:43:43,0.60,0.04, , , 
2017-12-13 04:03:43,0.55,0.04, , , 
2017-12-13 04:23:43,0.55,0.04, , , 
2017-12-13 04:43:43,0.55,-0.00, , , 
2017-12-13 05:03:43,0.55,-0.00, , , 
2017-12-13 05:23:43,0.55,0.04, , , 
2017-12-13 05:43:43,0.55,0.04, , , 
2017-12-13 06:03:43,0.55,-0.00, , , 
2017-12-13 06:23:43,0.60,-0.00, , , 
2017-12-13 06:43:43,0.60,-0.00, , , 
2017-12-13 07:03:43,0.55,0.04, , , 
2017-12-13 07:23:43,0.60,-0.00, , , 
2017-12-13 07:43:43,0.55,-0.00, , , 
2017-12-13 08:03:43,0.60,-0.00, , , 
2017-12-13 08:23:43,0.64,0.04, , , 
2017-12-13 08:43:43,0.60,0.04, , , 
2017-12-13 09:03:43,0.60,0.04, , , 
2017-12-13 09:23:43,0.60,-0.00, , , 
2017-12-13 09:43:43,0.55,0.04, , , 
